File path,Line number,Line containing the searched text
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","7","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","233","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","289","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!/smart","6","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!/smart","176","Check out this Author's contributed articles."
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!/smart","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks."
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!/smart","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!/smart","252","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Hello/name.txt","239","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Hello/name.txt","295","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Hello/What.txt","142","This list goes on, there are various areas where software developers are happily using C++ to provide great softwares. I highly recommend you to learn C++ and contribute great softwares to the community."
"Shell_Script_Offline.working_dir.Hello.World/ugly.txt","228","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Hello.World/ugly.txt","284","CONTRIBUTE"
"Shell_Script_Offline.working_dir/Practice.cpp","13","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.working_dir/Practice.cpp","53","	// contribute"
